uf,regiao,populacao,incidencia_total,incidencia_sem_pnm,linacs_sus,cursos_rt_realizados
AC,Norte,830000,1170,970,0,357
AP,Norte,730000,1140,1000,0,0
AM,Norte,4280000,5580,5000,6,1848
PA,Norte,8120000,12870,10280,10,1765
RO,Norte,1580000,2930,2490,4,1430
RR,Norte,640000,1040,840,0,0
TO,Norte,1580000,3140,2370,2,1060
AL,Nordeste,3130000,7930,5480,5,1804
BA,Nordeste,14140000,42190,30760,16,7139
CE,Nordeste,8790000,32830,21720,12,6105
MA,Nordeste,6770000,13010,9630,4,3177
PB,Nordeste,3970000,13470,9880,6,2464
PE,Nordeste,9060000,24250,19790,11,4719
PI,Nordeste,3270000,10050,6360,3,1841
RN,Nordeste,3300000,11670,7840,4,1952
SE,Nordeste,2210000,6870,4260,3,1480
DF,Centro-Oeste,2810000,10070,7600,12,953
GO,Centro-Oeste,7060000,29530,15750,6,3585
MT,Centro-Oeste,3660000,8680,6140,4,1269
MS,Centro-Oeste,2760000,11490,7090,5,1628
ES,Sudeste,3830000,16490,9750,6,3269
MG,Sudeste,20540000,93380,58490,46,20168
RJ,Sudeste,16050000,81780,52900,38,8807
SP,Sudeste,44410000,193740,132500,127,33203
PR,Sul,11440000,45910,30650,31,12860
RS,Sul,10880000,54550,29990,31,11941
SC,Sul,7610000,45290,28240,17,6891
