uf,regiao,populacao,incidencia_total,incidencia_sem_pnm,linacs_sus,cursos_rt_realizados,demanda_rt_sus,demanda_reprimida,pacientes_por_linac,lsi,grade,deficit_linacs,deficit_fisico_medico,deficit_radio_oncologista,deficit_tecnico_rtt,deficit_profissionais_total,utilizacao,tempo_espera_meses,prazo_60d_alcancavel
AC,Norte,830000,1170,970,0,357,388.0,31.0,inf,inf,4,1,1,2,3,6,inf,inf,False
AP,Norte,730000,1140,1000,0,0,400.0,400.0,inf,inf,4,1,1,2,3,6,inf,inf,False
AM,Norte,4280000,5580,5000,6,1848,2000.0,152.0,333.3333333333333,74.07407407407408,0,0,0,0,0,0,0.7407407407407407,2.605714285714286,True
PA,Norte,8120000,12870,10280,10,1765,4112.0,2347.0,411.2,91.37777777777778,0,0,0,0,0,0,0.9137777777777778,72.58762886597938,True
RO,Norte,1580000,2930,2490,4,1430,996.0,0.0,249.0,55.333333333333336,0,0,0,0,0,0,0.5533333333333333,0.0,True
RR,Norte,640000,1040,840,0,0,336.0,336.0,inf,inf,4,1,1,2,3,6,inf,inf,False
TO,Norte,1580000,3140,2370,2,1060,948.0,0.0,474.0,105.33333333333333,1,1,1,2,3,6,1.0533333333333332,inf,False
AL,Nordeste,3130000,7930,5480,5,1804,2192.0,388.0,438.4,97.42222222222222,0,0,0,0,0,0,0.9742222222222222,80.27586206896551,True
BA,Nordeste,14140000,42190,30760,16,7139,12304.0,5165.0,769.0,170.88888888888889,2,12,12,22,36,70,1.708888888888889,inf,False
CE,Nordeste,8790000,32830,21720,12,6105,8688.0,2583.0,724.0,160.88888888888889,2,8,8,15,24,47,1.6088888888888888,inf,False
MA,Nordeste,6770000,13010,9630,4,3177,3852.0,675.0,963.0,214.0,2,5,5,9,15,29,2.14,inf,False
PB,Nordeste,3970000,13470,9880,6,2464,3952.0,1488.0,658.6666666666666,146.37037037037038,2,3,3,6,9,18,1.4637037037037037,inf,False
PE,Nordeste,9060000,24250,19790,11,4719,7916.0,3197.0,719.6363636363636,159.91919191919192,2,7,7,13,21,41,1.5991919191919193,inf,False
PI,Nordeste,3270000,10050,6360,3,1841,2544.0,703.0,848.0,188.44444444444443,2,3,3,6,9,18,1.8844444444444444,inf,False
RN,Nordeste,3300000,11670,7840,4,1952,3136.0,1184.0,784.0,174.2222222222222,2,3,3,6,9,18,1.7422222222222221,inf,False
SE,Nordeste,2210000,6870,4260,3,1480,1704.0,224.0,568.0,126.22222222222221,1,1,1,2,3,6,1.2622222222222221,inf,False
DF,Centro-Oeste,2810000,10070,7600,12,953,3040.0,2087.0,253.33333333333334,56.2962962962963,0,0,0,0,0,0,0.562962962962963,10.611864406779661,True
GO,Centro-Oeste,7060000,29530,15750,6,3585,6300.0,2715.0,1050.0,233.33333333333334,2,8,8,15,24,47,2.3333333333333335,inf,False
MT,Centro-Oeste,3660000,8680,6140,4,1269,2456.0,1187.0,614.0,136.44444444444443,2,2,2,4,6,12,1.3644444444444443,inf,False
MS,Centro-Oeste,2760000,11490,7090,5,1628,2836.0,1208.0,567.2,126.04444444444445,1,2,2,4,6,12,1.2604444444444445,inf,False
ES,Sudeste,3830000,16490,9750,6,3269,3900.0,631.0,650.0,144.44444444444443,2,3,3,6,9,18,1.4444444444444444,inf,False
MG,Sudeste,20540000,93380,58490,46,20168,23396.0,3228.0,508.60869565217394,113.02415458937199,1,6,6,11,18,35,1.1302415458937198,inf,False
RJ,Sudeste,16050000,81780,52900,38,8807,21160.0,12353.0,556.8421052631579,123.74269005847952,1,10,10,18,30,58,1.2374269005847953,inf,False
SP,Sudeste,44410000,193740,132500,127,33203,53000.0,19797.0,417.3228346456693,92.73840769903762,0,0,0,0,0,0,0.9273840769903762,57.24433734939759,True
PR,Sul,11440000,45910,30650,31,12860,12260.0,0.0,395.48387096774195,87.8853046594982,0,0,0,0,0,0,0.8788530465949821,0.0,True
RS,Sul,10880000,54550,29990,31,11941,11996.0,55.0,386.96774193548384,85.99283154121864,0,0,0,0,0,0,0.8599283154121864,0.33776867963152507,True
SC,Sul,7610000,45290,28240,17,6891,11296.0,4405.0,664.4705882352941,147.66013071895426,2,9,9,17,27,53,1.4766013071895425,inf,False
