uf,regiao,utilizacao,grade,pct_ate_60d
AC,Norte,inf,4,0.23824959481361427
AL,Nordeste,0.9742222222222222,0,0.23135391923990498
AM,Norte,0.7407407407407407,0,0.1597061909758657
AP,Norte,inf,4,
BA,Nordeste,1.708888888888889,2,0.1951758897346225
CE,Nordeste,1.6088888888888888,2,0.3076185606544804
DF,Centro-Oeste,0.562962962962963,0,0.2703619909502262
ES,Sudeste,1.4444444444444444,2,0.24076179647527005
GO,Centro-Oeste,2.3333333333333335,2,0.2197461629279811
MA,Nordeste,2.14,2,0.2648648648648649
MG,Sudeste,1.1302415458937198,1,0.27111767799454056
MS,Centro-Oeste,1.2604444444444445,1,0.10522213561964147
MT,Centro-Oeste,1.3644444444444443,2,0.2438118811881188
PA,Norte,0.9137777777777778,0,0.09941371399439204
PB,Nordeste,1.4637037037037037,2,0.12486328837039737
PE,Nordeste,1.5991919191919193,2,0.21458314055704636
PI,Nordeste,1.8844444444444444,2,0.2824794791961506
PR,Sul,0.8788530465949821,0,0.38971278393091796
RJ,Sudeste,1.2374269005847953,1,0.16701800614844092
RN,Nordeste,1.7422222222222221,2,0.3074792243767313
RO,Norte,0.5533333333333333,0,0.3901503981126511
RR,Norte,inf,4,
RS,Sul,0.8599283154121864,0,0.32237906190266136
SC,Sul,1.4766013071895425,2,0.2605624047652029
SE,Nordeste,1.2622222222222221,1,0.2678994784257942
SP,Sudeste,0.9273840769903762,0,0.2257456213133797
TO,Norte,1.0533333333333332,1,0.2575180008470987
