uf,linacs_sus,fonte
AC,1,Censo RT MS 2019 - proporcional incidencia INCA
AL,3,Censo RT MS 2019 - proporcional incidencia INCA
AM,2,Censo RT MS 2019 - proporcional incidencia INCA
AP,0,Censo RT MS 2019 - confirmado sem servico
BA,18,Censo RT MS 2019 - proporcional incidencia INCA
CE,14,Censo RT MS 2019 - proporcional incidencia INCA
DF,5,Censo RT MS 2019 - proporcional incidencia INCA
ES,7,Censo RT MS 2019 - proporcional incidencia INCA
GO,13,Censo RT MS 2019 - proporcional incidencia INCA
MA,5,Censo RT MS 2019 - proporcional incidencia INCA
MG,39,Censo RT MS 2019 - proporcional incidencia INCA
MS,5,Censo RT MS 2019 - proporcional incidencia INCA
MT,4,Censo RT MS 2019 - proporcional incidencia INCA
PA,5,Censo RT MS 2019 - proporcional incidencia INCA
PB,6,Censo RT MS 2019 - proporcional incidencia INCA
PE,10,Censo RT MS 2019 - proporcional incidencia INCA
PI,4,Censo RT MS 2019 - proporcional incidencia INCA
PR,19,Censo RT MS 2019 - proporcional incidencia INCA
RJ,35,Censo RT MS 2019 - proporcional incidencia INCA
RN,5,Censo RT MS 2019 - proporcional incidencia INCA
RO,1,Censo RT MS 2019 - proporcional incidencia INCA
RR,0,Censo RT MS 2019 - confirmado sem servico
RS,23,Censo RT MS 2019 - proporcional incidencia INCA
SC,19,Censo RT MS 2019 - proporcional incidencia INCA
SE,3,Censo RT MS 2019 - proporcional incidencia INCA
SP,116,Censo RT MS 2019 - confirmado 116/363 LINACs
TO,1,Censo RT MS 2019 - proporcional incidencia INCA
